Comunio_Name;LI_Name;LI_Link;LastName;Ambiguous
Kaufmann;Mikkel Kaufmann;https://www.ligainsider.de/mikkel-kaufmann_23953/;kaufmann;0
Kauã Santos;;;santos;0
Kawasaki;;;kawasaki;0
Keitel;;;keitel;0
Keller;;;keller;0
Kemlein;;;kemlein;0
Kerber;Luca Kerber;https://www.ligainsider.de/luca-kerber_35870/;kerber;0
Khedira;Rani Khedira;https://www.ligainsider.de/rani-khedira_2122/;khedira;0
Kiala;;;kiala;0
Kilian;;;kilian;0
Kim;;;kim;0
Kimmich;Joshua Kimmich;https://www.ligainsider.de/joshua-kimmich_5768/;kimmich;0
Klanac;;;klanac;0
Klaus;;;klaus;0
Kleindienst;;;kleindienst;0
Klostermann;;;klostermann;0
Knauff;Ansgar Knauff;https://www.ligainsider.de/ansgar-knauff_24398/;knauff;0
Kobel;Gregor Kobel;https://www.ligainsider.de/gregor-kobel_9357/;kobel;0
Koch;Robin Koch;https://www.ligainsider.de/robin-koch_12490/;koch;0
Kofane;Christian Kofane;https://www.ligainsider.de/christian-kofane_38550/;kofane;0
Kohr;Dominik Kohr;https://www.ligainsider.de/dominik-kohr_1821/;kohr;0
Kolke;;;kolke;0
Koudossou;;;koudossou;0
Koulierakis;K. Koulierakis;https://www.ligainsider.de/konstantinos-koulierakis_35746/;koulierakis;0
Kovář;;;kovar;0
Kownacki;;;kownacki;0
Kramarić;Andrej Kramarić;https://www.ligainsider.de/andrej-kramaric_2439/;kramaric;0
Krattenmacher;;;krattenmacher;0
Krauß;Tom Krauß;https://www.ligainsider.de/tom-krauss_20244/;krauss;0
Kristensen;Rasmus Kristensen;https://www.ligainsider.de/rasmus-kristensen_21692/;kristensen;0
Král;Alex Král;https://www.ligainsider.de/alex-kral_26657/;kral;0
Kujović;;;kujovic;0
Kumbedi;;;kumbedi;0
Kusi-Asare;;;asare;0
Kyereh;;;kyereh;0
Köbbing;;;kobbing;0
Köhler;;;kohler;0
Köhn;Derrick Köhn;https://www.ligainsider.de/derrick-koehn_14385/;kohn;0
Kölle;;;kolle;0
Kömür;Mert Kömür;https://www.ligainsider.de/mert-koemuer_27169/;komur;0
König;;;konig;0
Königsdörffer;R. Königsdörffer;https://www.ligainsider.de/ransford-koenigsdoerffer_23911/;konigsdorffer;0
Kübler;Lukas Kübler;https://www.ligainsider.de/lukas-kuebler_1935/;kubler;0
Kücüksahin;;;kucuksahin;0
L. Grill;;;grill;0
L. Philipp;;;philipp;0
L. Vušković;Luka Vušković;https://www.ligainsider.de/luka-vuskovic_35901/;vuskovic;0
La. Günther;;;gunther;0
Labrović;;;labrovic;0
Lade;;;lade;0
Laimer;Konrad Laimer;https://www.ligainsider.de/konrad-laimer_6324/;laimer;0
Larsson;Hugo Larsson;https://www.ligainsider.de/hugo-larsson_35384/;larsson;0
Leal Costa;Danny da Costa;https://www.ligainsider.de/danny-da-costa_650/;costa;0
Lee;Jaesung Lee;https://www.ligainsider.de/jaesung-lee_21202/;lee;0
Leitsch;;;leitsch;0
Lemperle;Tim Lemperle;https://www.ligainsider.de/tim-lemperle_23854/;lemperle;0
Leweling;Jamie Leweling;https://www.ligainsider.de/jamie-leweling_21336/;leweling;0
Lienhart;Philipp Lienhart;https://www.ligainsider.de/philipp-lienhart_13911/;lienhart;0
Lindstrøm;;;lindstrom;0
Lisewski;;;lisewski;0
Lisztes;;;lisztes;0
Ljubičić;;;ljubicic;0
Lomb;;;lomb;0
Lucas Vázquez;Lucas Vázquez;https://www.ligainsider.de/lucas-vazquez_7631/;vazquez;0
Luis Díaz;Luis Díaz;https://www.ligainsider.de/luis-diaz_22566/;diaz;0
Lukeba;Castello Lukeba;https://www.ligainsider.de/castello-lukeba_27079/;lukeba;0
Lund;Kristoffer Lund;https://www.ligainsider.de/kristoffer-lund_25668/;lund;0
Lynen;Senne Lynen;https://www.ligainsider.de/senne-lynen_35359/;lynen;0
Lührs;;;luhrs;0
M. Eggestein;Maximilian Eggestein;https://www.ligainsider.de/maximilian-eggestein_6131/;eggestein;0
M. El Mala;Said El Mala;https://www.ligainsider.de/said-el-mala_38546/;mala;0
M. Philipp;Philipp Lienhart;https://www.ligainsider.de/philipp-lienhart_13911/;philipp;0
M. Wolf;Marius Wolf;https://www.ligainsider.de/marius-wolf_5670/;wolf;0
Ma. Müller;;;muller;0
Machida;;;machida;0
Machino;Shuto Machino;https://www.ligainsider.de/shuto-machino_36130/;machino;0
Maier;;;maier;0
Maina;;;maina;0
Mainka;Patrick Mainka;https://www.ligainsider.de/patrick-mainka_10618/;mainka;0
Majer;Lovro Majer;https://www.ligainsider.de/lovro-majer_22120/;majer;0
Makengo;Jordy Makengo;https://www.ligainsider.de/jordy-makengo_26088/;makengo;0
Maksimović;;;maksimovic;0
Malanga;;;malanga;0
Malatini;;;malatini;0
Maloney;;;maloney;0
Maluze;;;maluze;0
Manzambi;Johan Manzambi;https://www.ligainsider.de/johan-manzambi_37206/;manzambi;0
Mané;;;mane;0
Markgraf;;;markgraf;0
Martel;Eric Martel;https://www.ligainsider.de/eric-martel_20728/;martel;0
Masanka Bungi;;;bungi;0
Massengo;Han-Noah Massengo;https://www.ligainsider.de/han-noah-massengo_35978/;massengo;0
Matanović;;;matanovic;0
Matsima;Chrislain Matsima;https://www.ligainsider.de/chrislain-matsima_26695/;matsima;0
Maurides;;;maurides;0
Maza;Ibrahim Maza;https://www.ligainsider.de/ibrahim-maza_35905/;maza;0
Mbangula;Samuel Mbangula;https://www.ligainsider.de/samuel-mbangula_38551/;mbangula;0
Meffert;;;meffert;0
Meiser;;;meiser;0
Metcalfe;;;metcalfe;0
Mets;;;mets;0
Meyer;;;meyer;0
Michaelis;;;michaelis;0
Micheler;;;micheler;0
Mike;;;mike;0
Mikelbrencis;William Mikelbrencis;https://www.ligainsider.de/william-mikelbrencis_35667/;mikelbrencis;0
Millot;;;millot;0
Milošević;;;milosevic;0
Mittelstädt;Maximilian Mittelstädt;https://www.ligainsider.de/maximilian-mittelstaedt_6206/;mittelstadt;0
Moerstedt;;;moerstedt;0
Mohya;;;mohya;0
Mokwa;;;mokwa;0
Moukoko;;;moukoko;0
Mounié;;;mounie;0
Muheim;Miro Muheim;https://www.ligainsider.de/miro-muheim_26094/;muheim;0
Musah;;;musah;0
Musiala;;;musiala;0
Muslija;;;muslija;0
Mwene;Phillipp Mwene;https://www.ligainsider.de/phillipp-mwene_2723/;mwene;0
Mæhle;Joakim Mæhle;https://www.ligainsider.de/joakim-maehle_21782/;mæhle;0
N. Banks;;;banks;0
N. Collins;Nnamdi Collins;https://www.ligainsider.de/nnamdi-collins_24116/;collins;0
N. Jatta;;;jatta;0
N. Schlotterbeck;Keven Schlotterbeck;https://www.ligainsider.de/keven-schlotterbeck_19286/;schlotterbeck;0
N. Schmidt;;;schmidt;0
Nacho Ferri;;;ferri;0
Nartey;;;nartey;0
Nebel;Paul Nebel;https://www.ligainsider.de/paul-nebel_20674/;nebel;0
Nedeljković;;;nedeljkovic;0
Netz;;;netz;0
Neuer;Manuel Neuer;https://www.ligainsider.de/manuel-neuer_114/;neuer;0
Neuhaus;;;neuhaus;0
Ngankam;;;ngankam;0
Ngoumou;;;ngoumou;0
Nicolas;Moritz Nicolas;https://www.ligainsider.de/moritz-nicolas_6295/;nicolas;0
Niehues;;;niehues;0
Njinmah;Justin Njinmah;https://www.ligainsider.de/justin-njinmah_27480/;njinmah;0
Nkounkou;;;nkounkou;0
Noll;;;noll;0
Norbye;;;norbye;0
Nordin;Arnaud Nordin;https://www.ligainsider.de/arnaud-nordin_12001/;nordin;0
Nsoki;;;nsoki;0
Nusa;Antonio Nusa;https://www.ligainsider.de/antonio-nusa_37124/;nusa;0
Nübel;Alexander Nübel;https://www.ligainsider.de/alexander-nuebel_4473/;nubel;0
Obert;;;obert;0
Odogu;;;odogu;0
Ogbemudia;;;ogbemudia;0
Ogbus;;;ogbus;0
Olise;Michael Olise;https://www.ligainsider.de/michael-olise_37170/;olise;0
Oliveira;;;oliveira;0
Olschowsky;;;olschowsky;0
Omari;Warmed Omari;https://www.ligainsider.de/warmed-omari_25626/;omari;0
Omlin;;;omlin;0
Onuoha;;;onuoha;0
Openda;;;openda;0
Opitz;;;opitz;0
Oppie;Louis Oppie;https://www.ligainsider.de/louis-oppie_36107/;oppie;0
Osterhage;Patrick Osterhage;https://www.ligainsider.de/patrick-osterhage_20826/;osterhage;0
Ostrzinski;;;ostrzinski;0
Ouédraogo;;;ouedraogo;0
P. Aaronson;;;aaronson;0
P. Pfeiffer;;;pfeiffer;0
P. Schulz;;;schulz;0
Palacios;;;palacios;0
Paredes;;;paredes;0
Pauli;;;pauli;0
Pavlešić;;;pavlesic;0
Pavlović;Aleksandar Pavlović;https://www.ligainsider.de/aleksandar-pavlovic_35918/;pavlovic;0
Paçarada;;;pacarada;0
Pedersen;;;pedersen;0
Pejčinović;Dženan Pejčinović;https://www.ligainsider.de/dzenan-pejcinovic_26158/;pejcinovic;0
Perea;;;perea;0
Pereira Cardoso;Romulo Cardoso;https://www.ligainsider.de/romulo-cardoso_38565/;cardoso;0
Pereira Lage;Mathias Pereira Lage;https://www.ligainsider.de/mathias-pereira-lage_37699/;lage;0
Peretz;;;peretz;0
Perrin;;;perrin;0
Pervan;;;pervan;0
Pesch;;;pesch;0
Petersson;;;petersson;0
Pherai;;;pherai;0
Philippe;Rayan Philippe;https://www.ligainsider.de/rayan-philippe_36121/;philippe;0
Pieper;;;pieper;0
Pieringer;;;pieringer;0
Pléa;;;plea;0
Poku;;;poku;0
Poller;;;poller;0
Poręba;;;poreba;0
Potočnik;;;potocnik;0
Poulsen;;;poulsen;0
Prass;Alexander Prass;https://www.ligainsider.de/alexander-prass_27057/;prass;0
Preu;;;preu;0
Prömel;;;promel;0
Puerta;;;puerta;0
Puertas;Cameron Puertas;https://www.ligainsider.de/cameron-puertas_35366/;puertas;0
Pyrka;Arkadiusz Pyrka;https://www.ligainsider.de/arkadiusz-pyrka_38439/;pyrka;0
Quansah;Jarell Quansah;https://www.ligainsider.de/jarell-quansah_36489/;quansah;0
Querfeld;Leopold Querfeld;https://www.ligainsider.de/leopold-querfeld_27234/;querfeld;0
Raab;;;raab;0
Raimund;;;raimund;0
Ramaj;Diant Ramaj;https://www.ligainsider.de/diant-ramaj_20836/;ramaj;0
Ramšak;;;ramsak;0
Ranos;;;ranos;0
Raphaël Guerreiro;;;guerreiro;0
Rapsch;;;rapsch;0
Raum;David Raum;https://www.ligainsider.de/david-raum_12557/;raum;0
Reinheimer;;;reinheimer;0
Reis;;;reis;0
Reitz;Rocco Reitz;https://www.ligainsider.de/rocco-reitz_24546/;reitz;0
Remberg;Nicolai Remberg;https://www.ligainsider.de/nicolai-remberg_26449/;remberg;0
Rexhbecaj;Elvis Rexhbeçaj;https://www.ligainsider.de/elvis-rexhbecaj_13707/;rexhbecaj;0
Rexhbeçaj;Elvis Rexhbeçaj;https://www.ligainsider.de/elvis-rexhbecaj_13707/;rexhbecaj;0
Reyna;;;reyna;0
Richter;;;richter;0
Rieder;Fabian Rieder;https://www.ligainsider.de/fabian-rieder_25579/;rieder;0
Rieß;;;riess;0
Ritzka;;;ritzka;0
Robatsch;;;robatsch;0
Rogério;;;rogerio;0
Rondić;;;rondic;0
Rosenfelder;;;rosenfelder;0
Rothe;Tom Rothe;https://www.ligainsider.de/tom-rothe_26243/;rothe;0
Rothweiler;;;rothweiler;0
Ryerson;Julian Ryerson;https://www.ligainsider.de/julian-ryerson_18478/;ryerson;0
Rômulo;Romulo Cardoso;https://www.ligainsider.de/romulo-cardoso_38565/;romulo;0
Röhl;;;rohl;0
Rönnow;Frederik Rønnow;https://www.ligainsider.de/frederik-roennow_7943/;ronnow;0
Røssing-Lelesiit;A. Røssing-Lelesiit;https://www.ligainsider.de/alexander-roessing-lelesiit_38495/;lelesiit;0
S. Banks;;;banks;0
S. Coulibaly;Karim Coulibaly;https://www.ligainsider.de/karim-coulibaly_38228/;coulibaly;0
S. El Mala;Said El Mala;https://www.ligainsider.de/said-el-mala_38546/;mala;0
Saad;Elias Saad;https://www.ligainsider.de/elias-saad_26393/;saad;0
Sabitzer;Marcel Sabitzer;https://www.ligainsider.de/marcel-sabitzer_2020/;sabitzer;0
Sahiti;Emir Sahiti;https://www.ligainsider.de/emir-sahiti_38469/;sahiti;0
Sakar;;;sakar;0
Saliakas;Manolis Saliakas;https://www.ligainsider.de/manolis-saliakas_16223/;saliakas;0
Salifou;;;salifou;0
Sambi Lokonga;;;lokonga;0
Sander;Philipp Sander;https://www.ligainsider.de/philipp-sander_18612/;sander;0
Sands;James Sands;https://www.ligainsider.de/james-sands_23722/;sands;0
Sanne;;;sanne;0
Sano;Kaishu Sano;https://www.ligainsider.de/kaishu-sano_36958/;sano;0
Santos Daiber;;;daiber;0
Sarco;;;sarco;0
Scally;Joe Scally;https://www.ligainsider.de/joe-scally_23700/;scally;0
Scherhant;;;scherhant;0
Schick;Patrik Schick;https://www.ligainsider.de/patrik-schick_7794/;schick;0
Schimmer;;;schimmer;0
Schlager;Xaver Schlager;https://www.ligainsider.de/xaver-schlager_11547/;schlager;0
Schmetgens;;;schmetgens;0
Schmid;Romano Schmid;https://www.ligainsider.de/romano-schmid_16771/;schmid;0
Schmied;Joël Schmied;https://www.ligainsider.de/joel-schmied_38328/;schmied;0
Schmitt;;;schmitt;0
Schmitz;;;schmitz;0
Schonlau;;;schonlau;0
Schopp;;;schopp;0
Schwäbe;Marvin Schwäbe;https://www.ligainsider.de/marvin-schwaebe_2626/;schwabe;0
Schäfer;;;schafer;0
Schöppner;Jan Schöppner;https://www.ligainsider.de/jan-schoeppner_21310/;schoppner;0
Scienza;Léo Scienza;https://www.ligainsider.de/leo-scienza_35222/;scienza;0
Sebulonsen;Sebastian Sebulonsen;https://www.ligainsider.de/sebastian-sebulonsen_38632/;sebulonsen;0
Seelt;;;seelt;0
Seibt;;;seibt;0
Seiwald;Nicolas Seiwald;https://www.ligainsider.de/nicolas-seiwald_24619/;seiwald;0
Sieb;Armindo Sieb;https://www.ligainsider.de/armindo-sieb_24114/;sieb;0
Siersleben;;;siersleben;0
Silas;;;silas;0
Sildillia;;;sildillia;0
Siljević;;;siljevic;0
Sinani;Danel Sinani;https://www.ligainsider.de/danel-sinani_22474/;sinani;0
Sippel;;;sippel;0
Skarke;;;skarke;0
Skhiri;;;skhiri;0
Skov;Robert Skov;https://www.ligainsider.de/robert-skov_18702/;skov;0
Skov Olsen;Andreas Skov Olsen;https://www.ligainsider.de/andreas-skov-olsen_20608/;olsen;0
Smarkalev;;;smarkalev;0
Smith;Eric Smith;https://www.ligainsider.de/eric-smith_23968/;smith;0
Smolčić;;;smolcic;0
Sorg;;;sorg;0
Soumahoro;;;soumahoro;0
Spari;;;spari;0
Stach;;;stach;0
Stage;Jens Stage;https://www.ligainsider.de/jens-stage_22538/;stage;0
Stange;;;stange;0
Stanišić;Josip Stanišić;https://www.ligainsider.de/josip-stanisic_20102/;stanisic;0
Stark;Niklas Stark;https://www.ligainsider.de/niklas-stark_2441/;stark;0
Stein;;;stein;0
Stenzel;;;stenzel;0
Stergiou;;;stergiou;0
Stevens;;;stevens;0
Stiller;Angelo Stiller;https://www.ligainsider.de/angelo-stiller_20766/;stiller;0
Stöger;Kevin Stöger;https://www.ligainsider.de/kevin-stoeger_692/;stoger;0
Sugawara;Yukinari Sugawara;https://www.ligainsider.de/yukinari-sugawara_22234/;sugawara;0
Suhonen;;;suhonen;0
Suzuki;Yuito Suzuki;https://www.ligainsider.de/yuito-suzuki_37105/;suzuki;0
Svanberg;;;svanberg;0
Svensson;Daniel Svensson;https://www.ligainsider.de/daniel-svensson_38304/;svensson;0
Swider;;;swider;0
Süle;;;sule;0
T. Drexler;;;drexler;0
T. Philipp;;;philipp;0
Tabaković;Haris Tabaković;https://www.ligainsider.de/haris-tabakovic_36122/;tabakovic;0
Tah;Jonathan Tah;https://www.ligainsider.de/jonathan-tah_2385/;tah;0
Tape;Axel Tape;https://www.ligainsider.de/axel-tape_38260/;tape;0
Tapsoba;Edmond Tapsoba;https://www.ligainsider.de/edmond-tapsoba_19022/;tapsoba;0
Tauer;;;tauer;0
Tella;Nathan Tella;https://www.ligainsider.de/nathan-tella_36300/;tella;0
Telle;;;telle;0
Terrier;;;terrier;0
Theate;Arthur Theate;https://www.ligainsider.de/arthur-theate_26137/;theate;0
Thielmann;Jan Thielmann;https://www.ligainsider.de/jan-thielmann_21998/;thielmann;0
Tiago Tomás;Tiago Tomás;https://www.ligainsider.de/tiago-tomas_24512/;tomas;0
Tietz;Phillip Tietz;https://www.ligainsider.de/phillip-tietz_7480/;tietz;0
Tigges;;;tigges;0
Tillman;Malik Tillman;https://www.ligainsider.de/malik-tillman_23862/;tillman;0
Tohumcu;Umut Tohumcu;https://www.ligainsider.de/umut-tohumcu_27482/;tohumcu;0
Topp;;;topp;0
Torunarigha;Jordan Torunarigha;https://www.ligainsider.de/jordan-torunarigha_6513/;torunarigha;0
Tousart;;;tousart;0
Traoré;Omar Traoré;https://www.ligainsider.de/omar-traore_35989/;traore;0
Trapp;;;trapp;0
Treu;;;treu;0
Trimmel;Christopher Trimmel;https://www.ligainsider.de/christopher-trimmel_5713/;trimmel;0
Tschernuth;;;tschernuth;0
Tuta;;;tuta;0
Ullrich;Lukas Ullrich;https://www.ligainsider.de/lukas-ullrich_27518/;ullrich;0
Ulreich;;;ulreich;0
Ulrich;;;ulrich;0
Undav;;;undav;0
Upamecano;Dayot Upamecano;https://www.ligainsider.de/dayot-upamecano_11541/;upamecano;0
Urbig;;;urbig;0
Uzun;Can Uzun;https://www.ligainsider.de/can-uzun_35949/;uzun;0
Vagnoman;Josha Vagnoman;https://www.ligainsider.de/josha-vagnoman_18427/;vagnoman;0
Vandevoordt;;;vandevoordt;0
Vasilj;Nikola Vasilj;https://www.ligainsider.de/nikola-vasilj_13866/;vasilj;0
Vavro;;;vavro;0
Veratschnig;;;veratschnig;0
Vermeeren;;;vermeeren;0
Vidić;;;vidic;0
Vidović;;;vidovic;0
Vini Souza;Vini Souza;https://www.ligainsider.de/vini-souza_38589/;souza;0
Vogt;;;vogt;0
Voll;;;voll;0
Vranckx;;;vranckx;0
W. Orbán;Willi Orbán;https://www.ligainsider.de/willi-orban_1667/;orban;0
Wagner;;;wagner;0
Wahi;Elye Wahi;https://www.ligainsider.de/elye-wahi_35837/;wahi;0
Wahl;Hauke Wahl;https://www.ligainsider.de/hauke-wahl_6372/;wahl;0
Waldschmidt;Luca Waldschmidt;https://www.ligainsider.de/luca-waldschmidt_2594/;waldschmidt;0
Wanner;;;wanner;0
Weigl;;;weigl;0
Weiper;Nelson Weiper;https://www.ligainsider.de/nelson-weiper_27543/;weiper;0
Weiser;;;weiser;0
Weißhaupt;;;weisshaupt;0
Werner;;;werner;0
Widmer;;;widmer;0
Wimmer;Patrick Wimmer;https://www.ligainsider.de/patrick-wimmer_26236/;wimmer;0
Wind;;;wind;0
Wirtz;;;wirtz;0
Woltemade;;;woltemade;0
Wätjen;;;watjen;0
Wöber;;;wober;0
Xavi Simons;;;simons;0
Xhaka;;;xhaka;0
Y. Engelhardt;Yannik Engelhardt;https://www.ligainsider.de/yannik-engelhardt_20278/;engelhardt;0
Yalçınkaya;;;yalcınkaya;0
Yardımcı;;;yardımcı;0
Zagadou;;;zagadou;0
Zaragoza;;;zaragoza;0
Zehnter;Aaron Zehnter;https://www.ligainsider.de/aaron-zehnter_26201/;zehnter;0
Zeitler;;;zeitler;0
Zentner;Robin Zentner;https://www.ligainsider.de/robin-zentner_3298/;zentner;0
Zesiger;Cédric Zesiger;https://www.ligainsider.de/cedric-zesiger_23382/;zesiger;0
Zetterer;Michael Zetterer;https://www.ligainsider.de/michael-zetterer_6257/;zetterer;0
Zieler;;;zieler;0
Zieliński;;;zielinski;0
Zingerle;;;zingerle;0
Zivzivadze;Budu Zivzivadze;https://www.ligainsider.de/budu-zivzivadze_35934/;zivzivadze;0
Zvonarek;;;zvonarek;0
